Word,Length,Freq_HAL,SUBTLWF,Pron,NPhon,NSyll,MorphSp,MorphPr,NMorph,POS,I_Mean_RT,I_Mean_Accuracy,X,Item,Frequency,Pronunciation,Letters,Degree,Clustering Coefficient,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,Mean Shortest Path
snob,4,453,2.18,"sn""Ab",4,1,{snob},"{sn""Ab}",1,NN,687.36,0.97,,snob,2.18,S N AA B,4,4,0.0,2.436152825836231e-05,0.010208581391126887,1.4792226405887504e-18,
shun,4,925,0.51,"S""Vn",3,1,{shun},"{S""Vn}",1,VB,838.68,0.67,,shun,0.51,SH AH N,4,3,0.0,1.4479563390557161e-05,0.010566674240384358,-2.947779985930165e-19,
shut,4,19700,263.82,"S""Vt",3,1,{shut},"{S""Vt}",1,VB|NN,649.62,0.94,,shut,263.82,SH AH T,4,3,0.3333333333333333,1.0701594473890295e-05,0.011725016911707757,-1.5703729247096224e-18,
sick,4,22109,165.43,"s""Ik",3,1,{sick},"{s""Ik}",1,JJ|NN|VB,565.16,0.97,,sick,165.43,S IH K,4,13,0.41025641025641024,3.345646825917102e-05,0.013832766112638058,-8.709020101035481e-17,
side,4,112408,200.92,"s""aId",3,1,{side},"{s""aId}",1,NN|VB|JJ,665.82,0.97,,side,200.92,S AY D,4,11,0.4909090909090909,7.169346376780435e-06,0.013563217082985237,-8.973778276982326e-17,
sift,4,769,0.75,"s""Ift",4,1,{sift},"{s""Ift}",1,VB|NN,797.54,0.73,,sift,0.75,S IH F T,4,4,0.5,7.071996066636096e-06,0.01284277781942158,-7.359399116109583e-18,
sigh,4,8526,3.39,"s""aI",2,1,{sigh},"{s""aI}",1,NN|VB,613.72,0.94,,sigh,3.39,S AY,4,2,0.0,6.349019869422756e-09,0.00011268240464251507,-1.3775977201224606e-18,
sign,4,39389,133.27,"s""aIn",3,1,{sign},"{s""aIn}",1,NN|VB,624.48,1,,sign,133.27,S AY N,4,1,0.0,0.0,7.512160309501004e-05,2.6664187463304314e-19,
silk,4,3864,9.78,"s""Ilk",4,1,{silk},"{s""Ilk}",1,NN,633.97,0.97,,silk,9.78,S IH L K,4,7,0.14285714285714285,1.8821097267408058e-05,0.013613458663526742,-3.1049464675356477e-17,
sill,4,439,0.45,"s""Il",3,1,{sill},"{s""Il}",1,NN,775.88,0.71,,sill,0.45,S IH L,4,12,0.5606060606060606,2.8702304538999084e-05,0.014378283649474488,-4.5979916245951726e-17,
silo,4,640,0.94,"s""aI.lo",4,2,{silo},"{s""aI.lo}",1,NN,732.17,0.68,,silo,0.94,S AY L OW,4,3,0.3333333333333333,3.42848197722506e-06,0.012933168992137103,-1.0648323356947431e-17,
sine,4,1153,0.18,"s""aIn",3,1,{sine},"{s""aIn}",1,NN,994.71,0.22,,sine,0.18,S AY N,4,17,0.33088235294117646,5.37061681819428e-05,0.014804581456677728,-1.6693137791145317e-16,
sing,4,10917,97.59,"s""IN",3,1,{sing},"{s""IN}",1,VB,596.66,1,,sing,97.59,S IH NG,4,9,0.2777777777777778,1.1133277967823983e-05,0.013229263141849098,-3.466346279799864e-17,
sink,4,8579,16.92,"s""INk",4,1,{sink},"{s""INk}",1,VB|NN,541.94,0.97,,sink,16.92,S IH NG K,4,10,0.3111111111111111,2.3000592370530707e-05,0.013975849181646181,-4.762258436447269e-17,
sire,4,931,13.16,"s""aIr",3,1,{sire},"{s""aIr}",1,NN|VB,736.7,0.79,,sire,13.16,S AY R,4,11,0.3090909090909091,4.9032696337562265e-05,0.014674530030369268,-7.651419864443109e-17,
site,4,148790,19.22,"s""aIt",3,1,{site},"{s""aIt}",1,NN|VB,665.88,0.97,,site,19.22,S AY T,4,8,0.42857142857142855,1.4421071112453973e-05,0.01337174101588444,-4.37233376619698e-17,
size,4,107005,46.14,"s""aIz",3,1,{size},"{s""aIz}",1,NN|VB,534.21,1,,size,46.14,S AY Z,4,4,1.0,0.0,0.013082334119342443,-3.2832988079243904e-17,
skid,4,783,2.18,"sk""Id",4,1,{skid},"{sk""Id}",1,NN|VB,687.55,0.97,,skid,2.18,S K IH D,4,4,1.0,0.0,0.010111956033473694,-8.997709965490678e-18,
skim,4,942,0.84,"sk""Im",4,1,{skim},"{sk""Im}",1,VB|NN,720.07,0.82,,skim,0.84,S K IH M,4,7,0.42857142857142855,2.303419742095196e-06,0.010407479895802218,-6.438009432055212e-18,
skin,4,24973,44.04,"sk""In",4,1,{skin},"{sk""In}",1,NN|VB,640.97,1,,skin,44.04,S K IH N,4,7,0.3333333333333333,9.965179635193409e-06,0.010490663681221967,-3.377961850026693e-18,
skip,4,8818,21.1,"sk""Ip",4,1,{skip},"{sk""Ip}",1,VB|NN,599.91,0.97,,skip,21.1,S K IH P,4,7,0.42857142857142855,2.8763368260168584e-06,0.010420464162429624,-5.039414501683324e-18,
skit,4,805,0.82,"sk""It",4,1,{skit},"{sk""It}",1,NN,691.55,0.97,,skit,0.82,S K IH T,4,8,0.42857142857142855,1.3557927074040564e-05,0.011383624398481227,-9.130317450871157e-18,
shag,4,476,1.9,"S""ag",3,1,{shag},"{S""ag}",1,JJ|VB|NN,707.83,0.86,,shag,1.9,SH AE G,4,4,0.3333333333333333,2.6950725146136604e-06,0.010466761508332421,4.258497622588999e-18,
shah,4,2250,0.84,"S""A",2,1,{shah},"{S""A}",1,NN,893,0.15,,shah,0.84,SH AA,4,2,1.0,0.0,0.010323284552824942,-2.0425255143759333e-19,
sham,4,1009,1.51,"S""am",3,1,{sham},"{S""am}",1,NN,834.36,0.74,,sham,1.51,SH AE M,4,5,0.2,2.7308118596437e-05,0.012027390040599816,-4.282303656616098e-18,
Shea,4,1969,1.63,"S""i",2,1,{shea},"{S""i}",1,NN,888,0.53,,shea,1.63,SH EY,4,1,0.0,0.0,0.009866541292970574,-1.0335359890398396e-18,
shed,4,6227,10.98,"S""Ed",3,1,{shed},"{S""Ed}",1,NN|VB,630.32,0.97,,shed,10.98,SH EH D,4,2,0.0,8.101349353383437e-06,0.011433204644119212,2.509552673677027e-18,
shin,4,1605,3.08,"S""In",3,1,{shin},"{S""In}",1,NN|VB,795.88,0.76,,shin,3.08,SH IH N,4,8,0.17857142857142858,4.679444347563686e-05,0.011867376972376904,-7.19737738776907e-18,
ship,4,51299,98.88,"S""Ip",3,1,{ship},"{S""Ip}",1,NN|VB,558.3,1,,ship,98.88,SH IH P,4,9,0.19444444444444445,2.150173934314596e-05,0.011719034760222192,-7.858268254157152e-18,
shoe,4,5209,30.39,"S""u",2,1,{shoe},"{S""u}",1,NN|VB,636.82,0.97,,shoe,30.39,SH UW,4,5,0.6,1.7507052930298281e-06,0.01157143986399773,-7.432664708612507e-18,
shoo,4,216,5.24,"S""u",2,1,{shoo},"{S""u}",1,NN|VB|minor,818.5,0.4,,shoo,5.24,SH UW,4,4,1.0,0.0,0.01152499153539162,-3.3738614418988626e-18,
shop,4,27995,53.55,"S""Ap",3,1,{shop},"{S""Ap}",1,NN|VB,610.5,1,,shop,53.55,SH AA P,4,8,0.25,2.6959733366934967e-05,0.012164336359081424,-4.880581107152305e-18,
shot,4,42214,227.43,"S""At",3,1,{shot},"{S""At}",1,NN|VB,554.48,0.97,,shot,227.43,SH AA T,4,9,0.2777777777777778,7.699635142037577e-05,0.013321332828786716,-2.2076642030082e-17,
show,4,178842,488.35,"S""o",2,1,{show},"{S""o}",1,VB|NN,576,1,,show,488.35,SH OW,4,8,0.32142857142857145,2.6034126885055843e-05,0.011637394872722227,-9.9385505700295e-18,
sect,4,1666,0.73,"s""Ekt",4,1,{sect},"{s""Ekt}",1,NN,725.1,0.62,,sect,0.73,S EH K T,4,1,0.0,0.0,0.011983465830199816,3.506537262491925e-18,
seed,4,8215,7.57,"s""id",3,1,{seed},"{s""id}",1,NN|VB,581.06,0.97,,seed,7.57,S IY D,4,11,0.2909090909090909,8.48916139755305e-05,0.013587286678518483,1.5189176291278103e-17,
seek,4,19663,18.31,"s""ik",3,1,{seek},"{s""ik}",1,VB,598.39,0.94,,seek,18.31,S IY K,4,8,0.42857142857142855,1.4515629950907159e-05,0.01284277781942158,7.177539634288823e-18,
seem,4,122295,139.82,"s""im",3,1,{seem},"{s""im}",1,VB,617.61,0.94,,seem,139.82,S IY M,4,8,0.25,4.87596744233888e-05,0.012907731458294743,5.860217719172093e-18,
seep,4,207,0.18,"s""ip",3,1,{seep},"{s""ip}",1,VB,832.69,0.47,,seep,0.18,S IY P,4,11,0.38181818181818183,3.807387934301951e-05,0.012728904477714324,1.5179232629831366e-17,
seer,4,356,1.47,"s""Ir",3,1,{seer},"{s""Ir}",1,NN,751.18,0.55,,seer,1.47,S IH R,4,11,0.38181818181818183,2.534461789043883e-05,0.0130156158832897,1.1474164201882931e-17,
self,4,29333,14.16,"s""Elf",4,1,{self},"{s""Elf}",1,NN,593.85,0.97,,self,14.16,S EH L F,4,2,0.0,6.668674534166137e-06,0.012105037222680104,-1.1484352731113068e-18,
sell,4,77273,92.25,"s""El",3,1,{sell},"{s""El}",1,VB|NN,641.76,0.97,,sell,92.25,S EH L,4,11,0.509090909090909,6.625114670226504e-05,0.014335658062122328,-2.3985315457700485e-17,
send,4,324164,179.78,"s""End",4,1,{send},"{s""End}",1,VB|NN,544.45,0.91,,send,179.78,S EH N D,4,8,0.39285714285714285,7.568016465447662e-05,0.014382785303716655,-1.26908411774145e-17,
serf,4,550,0.18,"s""3`f",3,1,{serf},"{s""3`f}",1,NN,780.67,0.51,,serf,0.18,S AH R F,4,2,0.0,3.539879054753218e-06,0.011363912494760913,-2.2020906690563056e-19,
sexy,4,6229,29.98,"s""Eks.i",5,2,{sex}>y>,"{s""Eks}.>i>",2,JJ,580.28,0.97,,sexy,29.98,S EH K S IY,4,0,0.0,0.0,0.0,-1.1930510923947974e-18,
scar,4,1738,8.47,"sk""Ar",4,1,{scar},"{sk""Ar}",1,NN,655.03,1,,scar,8.47,S K AA R,4,6,0.4666666666666667,1.1973650659409932e-05,0.012172394345540804,-7.189326596737769e-18,
scud,4,356,0.61,"sk""Vd",4,1,{scud},"{sk""Vd}",1,NN|VB,858.82,0.52,,scud,0.61,S K AH D,4,1,0.0,0.0,0.007936872194207151,5.168821964918269e-19,
seal,4,6421,14.75,"s""il",3,1,{seal},"{s""il}",1,NN|VB,599.73,0.97,,seal,14.75,S IY L,4,11,0.43636363636363634,8.379277068189943e-05,0.01404635874027549,-3.7723351711559e-17,
seam,4,1085,0.65,"s""im",3,1,{seam},"{s""im}",1,NN|VB,695.77,0.91,,seam,0.65,S IY M,4,9,0.19444444444444445,0.00010153162890618292,0.013535243447280788,-1.0896156002053834e-17,
sear,4,265,0.22,"s""Ir",3,1,{sear},"{s""Ir}",1,VB,725.17,0.94,,sear,0.22,S IH R,4,19,0.3742690058479532,9.545402194135646e-05,0.013739678857505905,-4.010503884657517e-17,
seat,4,17184,78.78,"s""it",3,1,{seat},"{s""it}",1,NN|VB,634.33,0.97,,seat,78.78,S IY T,4,12,0.2878787878787879,0.00011874762228976443,0.01437603387891441,-1.1712092338734167e-17,
sack,4,2220,12.92,"s""ak",3,1,{sack},"{s""ak}",1,NN|VB,677.47,0.97,,sack,12.92,S AE K,4,9,0.5,2.0744265294130454e-05,0.014016358889419068,-5.229148331980248e-17,
safe,4,33169,143.2,"s""ef",3,1,{safe},"{s""ef}",1,JJ|NN,576.76,0.97,,safe,143.2,S EY F,4,7,0.7142857142857143,6.726291513630463e-07,0.013338738751472415,-9.527894583761672e-17,
saga,4,2795,0.78,"s""A.g@",4,2,{saga},"{s""A.g@}",1,NN,704.96,0.85,,saga,0.78,S AA G AH,4,1,0.0,0.0,0.01141473878992943,-1.1844898080964858e-17,
sage,4,4766,1.75,"s""edZ",3,1,{sage},"{s""edZ}",1,NN|JJ,659.03,1,,sage,1.75,S EY JH,4,11,0.38181818181818183,1.0333511492139705e-05,0.013565219625002508,-1.3547344192977942e-16,
sail,4,3552,13.75,"s""el",3,1,{sail},"{s""el}",1,NN|VB,598.65,1,,sail,13.75,S EY L,4,11,0.8181818181818182,7.25521309121632e-06,0.012905918320008708,4.7606794506135445e-17,
sake,4,11448,64.16,"s""ek",3,1,{sake},"{s""ek}",1,NN,655.61,0.82,,sake,64.16,S EY K,4,14,0.4725274725274725,4.529841733438432e-06,0.013745845679255233,-2.3954732531599905e-16,
sale,4,95391,25.39,"s""el",3,1,{sale},"{s""el}",1,NN,597.61,1,,sale,25.39,S EY L,4,15,0.34285714285714286,2.7818226249529643e-05,0.014528341638226121,-1.3552582780619648e-16,
salt,4,15258,19.51,"s""Olt",4,1,{salt},"{s""Olt}",1,NN|VB,562.7,1,,salt,19.51,S AO L T,4,3,0.3333333333333333,2.9666298744065846e-06,0.013573235709874721,-1.6314585963111723e-17,
same,4,401465,417.18,"s""em",3,1,{same},"{s""em}",1,JJ,581.19,1,,same,417.18,S EY M,4,13,0.38461538461538464,2.217691747751633e-05,0.013882930268984888,-1.3257398261228286e-16,
sand,4,10083,20.29,"s""and",4,1,{sand},"{s""and}",1,NN|VB,575.97,0.97,,sand,20.29,S AE N D,4,9,0.2777777777777778,3.7690986332468425e-05,0.014407594875355494,-3.543523361529129e-17,
sane,4,3942,5.51,"s""en",3,1,{sane},"{s""en}",1,JJ|NN,622,0.94,,sane,5.51,S EY N,4,15,0.26666666666666666,4.858981045476882e-05,0.014723915467971471,-1.6317224278707717e-16,
sang,4,5220,8.22,"s""aN",3,1,{sang},"{s""aN}",1,VB,739,0.94,,sang,8.22,S AE NG,4,12,0.3787878787878788,1.548521813362231e-05,0.013290500870843627,-1.730561388344777e-17,
sans,4,2830,0.47,"s""anz",4,1,{sans},"{s""anz}",1,JJ,831.58,0.35,,sans,0.47,S AE N Z,4,3,1.0,0.0,0.012907731458294743,-2.233441283586301e-17,
sash,4,307,1.14,"s""aS",3,1,{sash},"{s""aS}",1,NN,731.18,0.67,,sash,1.14,S AE SH,4,8,1.0,0.0,0.012149858836305472,-2.0696361018584412e-16,
save,4,62632,162.31,"s""ev",3,1,{save},"{s""ev}",1,VB|NN,586.85,1,,save,162.31,S EY V,4,12,0.45454545454545453,6.064606201747723e-06,0.013700750450364148,-1.6080028423835296e-16,
scab,4,546,0.63,"sk""ab",4,1,{scab},"{sk""ab}",1,NN,738.52,0.94,,scab,0.63,S K AE B,4,5,0.4,2.2462305438764103e-06,0.011009854106667704,-2.632421867898227e-18,
scan,4,14016,9.41,"sk""an",4,1,{scan},"{sk""an}",1,NN|VB,612.53,0.88,,scan,9.41,S K AE N,4,4,0.3333333333333333,9.53331494997549e-07,0.010797653369390292,5.631355739623304e-20,
road,4,66722,111.94,"r""od",3,1,{road},"{r""od}",1,NN,630.36,0.97,,road,111.94,R OW D,4,6,0.26666666666666666,1.7537847891265067e-05,0.013278975649680877,-5.902789990223858e-18,
roam,4,1099,3.39,"r""om",3,1,{roam},"{r""om}",1,VB,754.58,0.97,,roam,3.39,R OW M,4,5,0.1,1.9722427067031765e-05,0.013022995396193053,-8.239630395579736e-18,
roar,4,1516,4.02,"r""Or",3,1,{roar},"{r""Or}",1,NN|VB,594.43,0.97,,roar,4.02,R OW R,4,5,0.2,1.028444818294962e-05,0.012721854406001383,-9.802029957638898e-18,
robe,4,1641,8.49,"r""ob",3,1,{robe},"{r""ob}",1,NN|VB,626,1,,robe,8.49,R OW B,4,5,0.6,1.5568545549614438e-06,0.012790927540044827,-9.136596610097018e-18,
rock,4,44285,86.16,"r""Ak",3,1,{rock},"{r""Ak}",1,NN|VB,543.88,1,,rock,86.16,R AA K,4,7,0.7142857142857143,7.68412455393525e-06,0.013440203703941191,-2.675958150047185e-17,
role,4,32941,18.22,"r""ol",3,1,{role},"{r""ol}",1,NN,630.61,0.97,,role,18.22,R OW L,4,11,0.2909090909090909,3.0963228510017964e-05,0.01418296272308459,-1.3421084591461252e-17,
roll,4,21720,63.27,"r""ol",3,1,{roll},"{r""ol}",1,NN|VB,612.31,1,,roll,63.27,R OW L,4,6,0.4,1.9832209238678114e-05,0.01368850305723212,-4.674786044359942e-18,
romp,4,418,0.53,"r""Amp",4,1,{romp},"{r""Amp}",1,NN,774.36,0.76,,romp,0.53,R AA M P,4,3,0.3333333333333333,2.0163772796695543e-06,0.010233596850093783,-1.816412143201573e-18,
roof,4,5626,35.65,"r""uf",3,1,{roof},"{r""uf}",1,NN,641.15,1,,roof,35.65,R UW F,4,4,0.3333333333333333,2.877110565906408e-06,0.012301142391236041,-1.8189228049752493e-17,
room,4,85138,439.51,"r""um",3,1,{room},"{r""um}",1,NN|VB,543.32,1,,room,439.51,R UW M,4,7,0.3333333333333333,9.89812125458119e-06,0.0127007509704371,-2.5549989975419922e-17,
root,4,27384,10.47,"r""ut",3,1,{root},"{r""ut}",1,NN|VB,634.37,1,,root,10.47,R UW T,4,10,0.4888888888888889,2.0248289692591164e-05,0.013992877325638439,-7.838585589364366e-17,
rope,4,6358,22.71,"r""op",3,1,{rope},"{r""op}",1,NN|VB,566.97,0.97,,rope,22.71,R OW P,4,11,0.3090909090909091,1.5028664674627994e-05,0.013737624479686301,-3.6339831978571325e-17,
rose,4,19326,53.02,"r""oz",3,1,{rose},"{r""oz}",1,VB|NN|JJ,594.15,1,,rose,53.02,R OW Z,4,12,0.25757575757575757,3.893051194214549e-05,0.013925012506841769,-1.8893978697203566e-17,
rosy,4,862,3.31,"r""oz.i",4,2,{rose}>y>,"{r""oz}.>i>",2,JJ,684.03,0.94,,rosy,3.31,R OW Z IY,4,1,0.0,0.0,0.011668431866921765,-3.123155044194259e-18,
rove,4,39,1.14,"r""ov",3,1,{rove},"{r""ov}",1,VB,708.81,0.46,,rove,1.14,R OW V,4,10,0.28888888888888886,1.2236966945018447e-05,0.013672207220259225,-4.521361215417019e-17,
ruby,4,4465,11.9,"r""u.bi",4,2,{ruby},"{r""u.bi}",1,JJ|NN,671.87,0.94,,ruby,11.9,R UW B IY,4,0,0.0,0.0,0.0,3.8206079566998745e-19,
rude,4,7346,22.06,"r""ud",3,1,{rude},"{r""ud}",1,JJ|NN,622.24,1,,rude,22.06,R UW D,4,5,0.3,6.20362961337882e-06,0.01243769223231921,-1.2582262270406577e-17,
ruin,4,7182,28.53,"r""u@n",4,1,{ruin},"{r""u@n}",1,NN|VB,679.12,1,,ruin,28.53,R UW IH N,4,2,1.0,0.0,0.00987502499141681,6.718384827555401e-19,
rule,4,45323,48.14,"r""ul",3,1,{rule},"{r""ul}",1,NN|VB,557.69,0.97,,rule,48.14,R UW L,4,5,0.3,8.463480534048977e-06,0.013026688291527292,-1.1856578912250096e-17,
rump,4,847,1.41,"r""Vmp",4,1,{rump},"{r""Vmp}",1,NN,711.53,0.88,,rump,1.41,R AH M P,4,8,0.5714285714285714,4.041087251704702e-06,0.010683399130249068,-2.227206750030637e-18,
rune,4,1246,0.98,"r""un",3,1,{rune},"{r""un}",1,NN,628.45,0.34,,rune,0.98,R UW N,4,7,0.23809523809523808,1.6746853660977843e-05,0.012995365278662234,-8.288626994688357e-18,
rung,4,563,1.39,"r""VN",3,1,{rung},"{r""VN}",1,VB,760.77,0.76,,rung,1.39,R AH NG,4,6,0.26666666666666666,9.2540457758106e-06,0.01233417002552584,-6.435681569644223e-18,
runt,4,264,2.45,"r""Vnt",4,1,{runt},"{r""Vnt}",1,NN,695.81,0.79,,runt,2.45,R AH N T,4,9,0.2222222222222222,3.226515234159658e-05,0.013799524259558724,-6.197045953901894e-19,
ruse,4,911,1.67,"r""uz",3,1,{ruse},"{r""uz}",1,NN,783.21,0.41,,ruse,1.67,R UW S,4,9,0.16666666666666666,3.80528632215978e-05,0.013309754095341443,-2.3594032076293853e-17,
rush,4,27949,31.41,"r""VS",3,1,{rush},"{r""VS}",1,NN|VB,628.17,0.97,,rush,31.41,R AH SH,4,8,0.39285714285714285,1.5598718395775124e-05,0.012520745778160532,-5.208458867006095e-17,
rust,4,4188,2.49,"r""Vst",4,1,{rust},"{r""Vst}",1,NN|VB|JJ,600.06,1,,rust,2.49,R AH S T,4,11,0.4,3.091568166175896e-05,0.01385153513042997,-7.783098474068578e-18,
rice,4,16535,15.08,"r""aIs",3,1,{rice},"{r""aIs}",1,NN,577.85,1,,rice,15.08,R AY S,4,11,0.32727272727272727,1.8595158040609798e-05,0.012796271938738437,-6.489249034179368e-17,
rich,4,36592,80.39,"r""ItS",3,1,{rich},"{r""ItS}",1,JJ|NN,620.86,0.97,,rich,80.39,R IH CH,4,1,0.0,0.0,0.01086533024126561,-7.019991618521351e-18,
ride,4,23593,135.37,"r""aId",3,1,{ride},"{r""aId}",1,NN|VB,546.03,1,,ride,135.37,R AY D,4,14,0.3956043956043956,1.3046309138012405e-05,0.013170474845203839,-1.055172643932125e-16,
rift,4,1865,1.08,"r""Ift",4,1,{rift},"{r""Ift}",1,NN,785.55,0.88,,rift,1.08,R IH F T,4,5,0.3,7.558270719754244e-06,0.012725378465393627,1.972346897804358e-20,
rime,4,927,0.12,"r""aIm",3,1,{rime},"{r""aIm}",1,NN,715,0.32,,rime,0.12,R AY M,4,9,0.5,6.4575708668062015e-06,0.012651780848270722,-5.982603027420542e-17,
ring,4,44167,92.75,"r""IN",3,1,{ring},"{r""IN}",1,NN|VB,545.33,1,,ring,92.75,R IH NG,4,6,0.4,2.4831349761903853e-06,0.012119408062279645,-8.875706983689937e-18,
rink,4,2015,2.14,"r""INk",4,1,{rink},"{r""INk}",1,NN,706.69,0.85,,rink,2.14,R IH NG K,4,8,0.35714285714285715,8.993974061777678e-06,0.01314597689514122,-1.8629305017101148e-17,
riot,4,2286,6.49,"r""aI@t",4,1,{riot},"{r""aI@t}",1,NN|VB,688.03,0.94,,riot,6.49,R AY AH T,4,2,0.0,3.636409082512989e-06,0.012442745465891386,-8.022852886438403e-18,
ripe,4,1286,4.18,"r""aIp",3,1,{ripe},"{r""aIp}",1,JJ|NN,708.19,0.97,,ripe,4.18,R AY P,4,11,0.3090909090909091,1.62793693707446e-05,0.013136578856182725,-6.09686604447173e-17,
riptide,7,1054,0.14,"rIp%taId,6,2,NULL,NULL,NULL,NN,849.42,0.75,,riptide
rise,4,14753,27.43,raIz",3,1,{rise},"{r""aIz}",1,NN|VB,613.38,0.97,,rise,27.43,R AY Z,4,11,0.3090909090909091,3.2922287216865025e-05,0.013446104569024144,-6.411808402693354e-17,
risk,4,36284,49.04,"r""Isk",4,1,{risk},"{r""Isk}",1,NN|VB,583.35,1,,risk,49.04,R IH S K,4,3,0.0,4.781964075711277e-06,0.012269929556642894,-7.358517443561051e-18,
rite,4,2043,1.45,"r""aIt",3,1,{rite},"{r""aIt}",1,NN,777.86,0.71,,rite,1.45,R AY T,4,11,0.38181818181818183,1.4208484119077377e-05,0.01295505252681077,-6.947891852230075e-17,
rest,4,78610,212.96,"r""Est",4,1,{rest},"{r""Est}",1,NN|VB,574.48,1,,rest,212.96,R EH S T,4,11,0.6545454545454545,1.3652817810710473e-05,0.013990746538776,1.122289179011686e-16,
rein,4,791,0.76,"r""en",3,1,{rein},"{r""en}",1,NN,698.63,0.82,,rein,0.76,R EY N,4,3,0.3333333333333333,1.6791797339462656e-06,0.010146574546674985,1.8795946403168805e-18,
rely,4,8349,7.18,"rI.l""aI",4,2,{rely},"{rI.l""aI}",1,VB,684.4,0.91,,rely,7.18,R IH L AY,4,0,0.0,0.0,0.0,9.469059394885017e-19,
rend,4,234,0.31,"r""End",4,1,{rend},"{r""End}",1,VB,755.18,0.52,,rend,0.31,R EH N D,4,7,0.47619047619047616,1.793208485265839e-05,0.013937686972108917,-3.566363110150477e-18,
rent,4,10739,34.55,"r""Ent",4,1,{rent},"{r""Ent}",1,NN|VB,607.91,0.97,,rent,34.55,R EH N T,4,9,0.3055555555555556,3.1674648252276405e-05,0.01426443603790436,1.65901868114688e-17,
rear,4,15895,12.43,"r""Ir",3,1,{rear},"{r""Ir}",1,JJ|NN|VB,647.85,1,,rear,12.43,R IH R,4,16,0.5083333333333333,1.133123935657313e-05,0.013300120515365083,-5.223333541923629e-17,
redo,4,1061,1.59,"r%i.d""u",4,2,<re<{do},"<r%i<.{d""u}",2,VB,799.26,0.72,,redo,1.59,R IY D UW,4,0,0.0,0.0,0.0,-6.79251544048305e-19,
reef,4,2981,4.0,"r""if",3,1,{reef},"{r""if}",1,NN,667.1,0.91,,reef,4.0,R IY F,4,3,0.3333333333333333,8.103135592380348e-07,0.011504787443043073,3.844049797987758e-19,
reek,4,160,0.9,"r""ik",3,1,{reek},"{r""ik}",1,NN|VB,715.96,0.79,,reek,0.9,R IY K,4,6,0.4666666666666667,3.7930095194689613e-06,0.012317634068929077,4.414426079887798e-19,
reel,4,2752,3.25,"r""il",3,1,{reel},"{r""il}",1,NN|VB,627.06,0.91,,reel,3.25,R IY L,4,7,0.3333333333333333,7.040080757986899e-06,0.01238070779142191,-8.3012223528679e-18,
rack,4,11655,7.78,"r""ak",3,1,{rack},"{r""ak}",1,NN|VB,622.41,1,,rack,7.78,R AE K,4,10,0.35555555555555557,2.4660223891035775e-05,0.014065712265790262,-4.481049964120726e-17,
race,4,46405,61.9,"r""es",3,1,{race},"{r""es}",1,NN|VB,564.18,1,,race,61.9,R EY S,4,13,0.32051282051282054,2.756784999122298e-05,0.013868261512474262,-1.5233678906419397e-16,
racy,4,149,0.96,"r""es.i",4,2,{race}>y>,"{r""es}.>i>",2,JJ,800.04,0.82,,racy,0.96,R EY S IY,4,3,0.3333333333333333,6.532970787503812e-07,0.01243432568955772,-1.9478527442190807e-17,
raft,4,841,4.71,"r""aft",4,1,{raft},"{r""aft}",1,NN,660.68,0.91,,raft,4.71,R AE F T,4,3,0.3333333333333333,5.314925564653623e-06,0.012821271632729834,-3.380029806738292e-18,
rage,4,6289,11.31,"r""edZ",3,1,{rage},"{r""edZ}",1,NN|VB,584.34,1,,rage,11.31,R EY JH,4,11,0.4909090909090909,2.22592690579911e-06,0.013329063182959813,-1.550317111939156e-16,
raid,4,6762,8.55,"r""ed",3,1,{raid},"{r""ed}",1,NN|VB,682.44,0.94,,raid,8.55,R EY D,4,3,0.3333333333333333,8.433336370950254e-08,0.011093604506175078,8.366396119611732e-18,
rail,4,7339,4.57,"r""el",3,1,{rail},"{r""el}",1,NN|VB,622,0.97,,rail,4.57,R EY L,4,13,0.5897435897435898,2.81390997952463e-05,0.012982511307071074,5.055745963723949e-17,
rain,4,17801,48.9,"r""en",3,1,{rain},"{r""en}",1,NN|VB,551.84,1,,rain,48.9,R EY N,4,8,0.2857142857142857,1.717770329192093e-05,0.011266368181501164,6.611261746818759e-18,
rake,4,919,2.98,"r""ek",3,1,{rake},"{r""ek}",1,VB|NN,612.86,0.91,,rake,2.98,R EY K,4,15,0.4666666666666667,4.0664717892396654e-06,0.013651891904924515,-2.6030440995234147e-16,
ramp,4,2793,2.88,"r""amp",4,1,{ramp},"{r""amp}",1,NN|VB,714.78,1,,ramp,2.88,R AE M P,4,8,0.39285714285714285,1.9318697951522407e-05,0.011783664553051429,-1.4270537943055534e-17,
rank,4,9512,8.49,"r""aNk",4,1,{rank},"{r""aNk}",1,NN|VB,623.24,1,,rank,8.49,R AE NG K,4,7,0.2857142857142857,1.5211976412650081e-05,0.013676277540955937,-1.1151828279511823e-17,
rant,4,2862,0.67,"r""ant",4,1,{rant},"{r""ant}",1,VB,607,0.82,,rant,0.67,R AE N T,4,8,0.17857142857142858,3.8292783750923535e-05,0.014487106988354146,-1.620295919216673e-17,
rape,4,12684,16.0,"r""ep",3,1,{rape},"{r""ep}",1,NN|VB,619.6,1,,rape,16.0,R EY P,4,13,0.32051282051282054,2.008183076299073e-05,0.013737624479686301,-1.5774737375358829e-16,
