Item,Frequency,Pronunciation
breakup,2.92,B R EY K AH P
breakwater,0.1,B R EY K W AO T AH R
breast,8.96,B R EH S T
breath,44.92,B R EH TH
breathe,48.51,B R IY DH
breather,1.22,B R IY DH AH R
breathing,27.78,B R IY DH IH NG
breathless,1.08,B R EH TH L IH S
breathtaking,1.24,B R EH TH T EY K IH NG
breathy,0.02,B R EH TH IY
breech,0.69,B R IY CH
breed,6.33,B R IY D
breeze,8.04,B R IY Z
breezy,0.78,B R IY Z IY
brevet,0.06,B R AH V EH T
brevity,0.22,B R EH V AH T IY
brew,2.51,B R UW
brewer,0.88,B R UW AH R
brewery,1.8,B R UW AH R IY
briar,0.76,B R AY AH R
bribe,6.04,B R AY B
brick,10.18,B R IH K
bricklayer,0.2,B R IH K L EY AH R
bricklaying,0.02,B R IH K L EY IH NG
bridal,2.61,B R AY D AH L
bride,24.22,B R AY D
bridegroom,1.43,B R AY D G R UW M
bridesmaid,2.45,B R AY D Z M EY D
bridge,45.71,B R IH JH
bridgehead,0.12,B R IH JH HH EH D
bridgework,0.12,B R IH JH W AH R K
bridle,0.29,B R AY D AH L
brief,14.35,B R IY F
briefcase,8.59,B R IY F K EY S
briefest,0.18,B R IY F AH S T
briefing,4.57,B R IY F IH NG
brig,3.04,B R IH G
brigade,3.2,B R IH G EY D
brigadier,1.02,B R IH G AH D IH R
bright,44.41,B R AY T
brighten,1.37,B R AY T AH N
brighter,2.94,B R AY T AH R
brightest,2.16,B R AY T AH S T
brightly,0.75,B R AY T L IY
brightness,0.59,B R AY T N IH S
brilliance,1.47,B R IH L Y AH N S
brilliant,35.8,B R IH L Y AH N T
brilliantly,1.24,B R IH L Y AH N T L IY
brim,0.88,B R IH M
brindle,0.04,B R IH N D AH L
bring,327.16,B R IH NG
bringing,44.75,B R IH NG IH NG
brink,2.49,B R IH NG K
brisk,1.04,B R IH S K
bristle,0.22,B R IH S AH L
brittle,1.39,B R IH T AH L
broach,0.45,B R OW CH
broad,14.73,B R AO D
broadcast,8.96,B R AO D K AE S T
broadcaster,0.14,B R AO D K AE S T AH R
broadcasting,3.2,B R AO D K AE S T IH NG
broaden,0.98,B R AO D AH N
broadening,0.22,B R AO D N IH NG
broader,0.67,B R AO D AH R
broadest,0.1,B R AO D IH S T
broadly,0.18,B R AO D L IY
broadside,0.45,B R AO D S AY D
brocade,0.1,B R OW K EY D
broccoli,2.27,B R AA K AH L IY
brochure,1.9,B R OW SH UH R
broil,0.29,B R OY L
broiler,0.2,B R OY L AH R
broke,105,B R OW K
broker,3.63,B R OW K AH R
brokerage,0.55,B R OW K AH R IH JH
bromide,0.45,B R OW M AY D
bronchial,0.33,B R AA NG K IY AH L
bronchiolitis,0.04,B R AA NG K IY OW L AY T IH S
bronchus,0.06,B R AA NG K IH S
bronco,1.41,B R AA NG K OW
bronze,2.8,B R AA N Z
brood,1.08,B R UW D
broody,0.16,B R UW D IY
brook,2.04,B R UH K
broom,4.76,B R UW M
broth,0.88,B R AO TH
brothel,1.61,B R AA TH AH L
brother,283.94,B R AH DH AH R
brotherhood,4.16,B R AH DH AH R HH UH D
brotherly,0.84,B R AH DH AH R L IY
brow,1.84,B R AW
browbeat,0.06,B R AW B IY T
brown,60.12,B R AW N
brownish,0.24,B R AW N IH SH
browse,0.59,B R AW Z
bruise,3.24,B R UW Z
brunch,3.71,B R AH N CH
brunette,3.49,B R UW N EH T
brunt,0.49,B R AH N T
brush,14.16,B R AH SH
brushfire,0.04,B R AH SH F AY R
brushing,2.18,B R AH SH IH NG
brushwork,0.02,B R AH SH W AH R K
brutal,7.35,B R UW T AH L
brutality,2.2,B R UW T AE L IH T IY
brutalize,0.08,B R UW T AH L AY Z
brutally,1.8,B R UW T AH L IY
brute,3.18,B R UW T
bubble,8,B AH B AH L
bubbly,1.37,B AH B L IY
buck,33.75,B AH K
buckboard,0.47,B AH K B OW R D
bucket,10.02,B AH K IH T
buckle,5.04,B AH K AH L
buckshot,1.02,B AH K SH AA T
buckskin,0.14,B AH K S K IH N
buckwheat,0.47,B AH K HH W IY T
bucolic,0.14,B Y UW K AA L IH K
bud,35.45,B AH D
buddy,102.88,B AH D IY
budge,2.04,B AH JH
budget,10.06,B AH JH IH T
budgetary,0.14,B AH JH IH T EH R IY
budgeting,0.08,B AH JH IH T IH NG
buff,2.49,B AH F
buffalo,11.9,B AH F AH L OW
buffer,1.67,B AH F AH R
buffet,4.43,B AH F AH T
buffeting,0.02,B AH F AH T IH NG
buffoon,0.86,B AH F UW N
bug,20.94,B AH G
bugger,4.35,B AH G AH R
buggy,2.49,B AH G IY
bugle,1.73,B Y UW G AH L
build,48.08,B IH L D
builder,0.94,B IH L D AH R
building,99.57,B IH L D IH NG
bulb,3.92,B AH L B
bulge,0.94,B AH L JH
bulk,1.9,B AH L K
bulkhead,0.94,B AH L K HH EH D
bulky,0.51,B AH L K IY
bull,27.51,B UH L
bulldoze,0.27,B UH L D OW Z
bullet,38.24,B UH L IH T
bulletin,3.59,B UH L IH T AH N
bullish,0.02,B UH L IH SH
bullshit,69.35,B UH L SH IH T
bully,7.22,B UH L IY
bulwark,0.16,B UH L W AH R K
bum,15.43,B AH M
bumblebee,0.65,B AH M B AH L B IY
bump,12.35,B AH M P
bumper,3.55,B AH M P AH R
bumptious,0.08,B AH M SH IH S
bun,2.88,B AH N
bunch,58.88,B AH N CH
bundle,3.9,B AH N D AH L
bungalow,1.65,B AH NG G AH L OW
bungle,0.18,B EH NG G AH L
bunk,6.27,B AH NG K
bunker,4.69,B AH NG K AH R
bunkmate,0.22,B AH NG K M EY T
bunt,0.8,B AH N T
bunter,0.04,B AH N T AH R
buoy,1.18,B UW IY
buoyancy,0.35,B OY AH N S IY
buoyant,0.18,B OY AH N T
burden,9.82,B AH R D AH N
burdensome,0.02,B AH R D AH N S AH M
bureau,11.14,B Y UH R OW
bureaucracy,0.51,B Y AH R AA K R IH S IY
bureaucrat,0.57,B Y UH R AH K R AE T
bureaucratic,0.8,B Y AH R AH K R AE T IH K
burgess,0.96,B AH R JH IH S
burglar,5.53,B AH R G L AH R
burglarproof,0.02,B AH R G L AH R P R UW F
burglary,3.57,B AH R G L AH R IY
burgomaster,0.43,B AH R G OW M AE S T AH R
burial,4.75,B EH R IY AH L
burl,0.14,B AH R L
burlesque,0.71,B AH R L EH S K
burley,1.1,B AH R L IY
burly,0.33,B AH R L IY
burn,55.22,B AH R N
burner,1.82,B AH R N AH R
burning,30.61,B AH R N IH NG
burr,0.69,B AH R
burrow,0.55,B AH R OW
bursitis,0.43,B AH R S AY T IH S
burst,8.53,B AH R S T
bury,20.67,B EH R IY
bus,74.18,B AH S
busboy,1.69,B AH S B OY
bush,14.12,B UH SH
bushel,0.63,B UH SH AH L
bushwhack,0.2,B UH SH HH W AE K
bushwhacking,0.08,B UH SH W AE K IH NG
busier,0.55,B IH Z IY AH R
busiest,0.86,B IH Z IY AH S T
business,321,B IH Z N IH S
businessman,7.92,B IH Z N IH S M AE N
buss,0.18,B AH S
bust,27.57,B AH S T
bustle,0.82,B AH S AH L
busy,106.53,B IH Z IY
busyness,0.02,B IH Z IY N IH S
but,4417.47,B AH T
butane,0.29,B Y UW T EY N
butcher,8.51,B UH CH AH R
butchery,0.25,B UH CH AH R IY
butler,9.96,B AH T L AH R
butt,38.57,B AH T
butter,20.43,B AH T AH R
butterfat,0.04,B AH T AH R F AE T
butterfly,5.51,B AH T AH R F L AY
butternut,0.16,B AH T AH R N AH T
buttery,0.33,B AH T AH R IY
buttock,0.33,B AH T AH K
button,28.25,B AH T AH N
buttonhole,0.22,B AH T AH N HH OW L
buttress,0.04,B AH T R IH S
buxom,0.1,B AH K S AH M
buy,192.43,B AY
buyer,5.18,B AY AH R
buying,32.92,B AY IH NG
buzz,15.96,B AH Z
by,1340.47,B AY
bygone,0.25,B AY G AO N
byline,0.39,B AY L AY N
bypass,3.57,B AY P AE S
bystander,0.88,B AY S T AE N D AH R
byword,0.04,B AY W AH R D
cab,35.8,K AE B
cabana,0.9,K AH B AE N Y AH
cabaret,2.25,K AE B AH R EY
cabbage,2.9,K AE B IH JH
cabdriver,0.27,K AE B D R AY V AH R
cabin,19.65,K AE B IH N
cabinet,8.33,K AE B IH N IH T
cable,21.73,K EY B AH L
cache,0.61,K AE SH
cackle,0.29,K AE K AH L
cacophony,0.25,K AH K AA F AH N IY
cadaver,1.18,K IH D AE V AH R
cadaverous,0.02,K AH D AE V AH R AH S
cadence,0.29,K EY D AH N S
cadenza,0.04,K IH D EH N Z AH
cadet,3.45,K IH D EH T
cadmium,0.14,K AE D M IY AH M
cadre,0.24,K AE D R IY
cafe,5.06,K AE F EY
cafeteria,5.67,K AE F AH T IH R IY AH
cage,20.27,K EY JH
cagey,0.57,K EY JH IY
cahoots,0.63,K AH HH UW T S
cake,45.06,K EY K
calamitous,0.12,K AH L AE M IH T AH S
calamity,2,K AH L AE M AH T IY
calcification,0.02,K AE L S AH F AH K EY SH IH N
calcify,0.02,K AE L S AH F AY
calcium,1.76,K AE L S IY AH M
calculate,2.08,K AE L K Y UH L EY T
calculation,0.63,K AE L K Y UH L EY SH IH N
calculator,1.29,K AE L K Y AH L EY T AH R
calculus,0.92,K AE L K Y UH L AH S
calendar,7.12,K AE L IH N D AH R
calf,2.96,K AE F
calfskin,0.2,K AE F S K IH N
caliber,2.73,K AE L AH B AH R
calibrate,0.24,K AE L IH B R EY T
calibration,0.22,K AE L IH B R EY SH IH N
calico,0.31,K AE L IH K OW
caliph,0.16,K AE L AH F
calisthenics,0.53,K AE L IH S TH EH N IH K S
call,861.39,K AO L
caller,4.35,K AO L AH R
calligrapher,0.06,K AH L IH G R AH F AH R
calligraphy,0.55,K AH L IH G R AH F IY
calling,123.75,K AO L IH NG
callous,0.98,K AE L AH S
callousness,0.16,K AE L AH S N EH S
callus,0.22,K AE L AH S
calm,89.04,K AA M
calmer,0.71,K AA L M AH R
calmest,0.02,K AA L M AH S T
calmness,0.1,K AA L M N AH S
caloric,0.08,K AH L AO R IH K
calorie,0.24,K AE L AH R IY
calorimeter,0.02,K AE L AH R IH M AH T AH R
calypso,0.33,K AH L IH P S OW
cam,3.78,K AE M
camaraderie,0.53,K AA M AH R AA D AH R IY
camel,5.02,K AE M AH L
cameo,0.47,K AE M IY OW
camera,57,K AE M AH R AH
cameraman,2.16,K AE M AH R AH M AH N
camouflage,1.84,K AE M AH F L AA ZH
camp,51.22,K AE M P
campaign,16.78,K AE M P EY N
campaigner,0.16,K AE M P EY N AH R
campaigning,0.88,K AE M P EY N IH NG
camper,1.43,K AE M P AH R
campfire,1.25,K AE M P F AY R
campground,0.18,K AE M P G R AW N D
campsite,0.59,K AE M P S AY T
campus,10.71,K AE M P AH S
can,5247.45,K AE N
canal,6.39,K AH N AE L
cancel,18.29,K AE N S AH L
cancellation,1.27,K AE N S AH L EY SH IH N
cancer,22.33,K AE N S AH R
candid,2,K AE N D IH D
candidacy,0.63,K AE N D IH D IH S IY
candidate,8.51,K AE N D IH D EY T
candle,8.02,K AE N D AH L
candlelight,1.67,K AE N D AH L L AY T
candlestick,0.49,K AE N D AH L S T IH K
candor,1,K AE N D AH R
candy,35.78,K AE N D IY
cane,8.33,K EY N
canine,1.69,K EY N AY N
canister,1.43,K AE N IH S T AH R
canker,0.41,K AE NG K AH R
cannery,0.25,K AE N AH R IY
cannibal,1.1,K AE N AH B AH L
cannibalistic,0.12,K AE N AH B AH L IH S T IH K
cannon,8.71,K AE N IH N
cannonball,1.43,K AE N IH N B AO L
canny,0.22,K AE N IY
canoe,3.57,K AH N UW
canon,0.98,K AE N IH N
canonize,0.04,K AE N IH N AY Z
canopy,1.69,K AE N AH P IY
cant,2.33,K AE N T
cantaloupe,0.75,K AE N T AH L OW P
canteen,1.71,K AE N T IY N
canter,0.22,K AE N T AH R
cantilever,0.14,K AE N T AH L IY V AH R
cantle,0.02,K AE N T AH L
canto,0.14,K AE N T OW
canvas,4.24,K AE N V AH S
canvass,0.96,K AE N V AH S
canvassing,0.53,K AE N V AH S IH NG
canyon,8.2,K AE N Y AH N
cap,18.75,K AE P
capability,1.37,K EY P AH B IH L IH T IY
capable,20.82,K EY P AH B AH L
capably,0.04,K EY P AH B L IY
capacious,0.06,K AH P EY SH IH S
capacitance,0.02,K AH P AE S IH T AH N S
capacitor,0.27,K AH P AE S IH T AH R
capacity,8.1,K AH P AE S IH T IY
cape,8.24,K EY P
caper,1.76,K EY P AH R
capillary,0.24,K AE P AH L EH R IY
capita,0.29,K AE P IH T AH
capital,12.71,K AE P IH T AH L
capitalism,1,K AE P AH T AH L IH Z AH M
capitalist,1.53,K AE P IH T AH L IH S T
capitalistic,0.29,K AE P AH T AH L IH S T IH K
capitalize,0.47,K AE P AH T AH L AY Z
capitol,2.39,K AE P AH T AH L
capitulate,0.31,K AH P IH CH AH L EY T
capitulation,0.1,K AH P IH CH AH L EY SH AH N
capricious,0.41,K AH P R IH SH IH S
capsicum,0.02,K AE P S AH K AH M
capstan,0.16,K AE P S T AE N
capsule,2.55,K AE P S AH L
captain,208.27,K AE P T IH N
captaincy,0.04,K AE P T AH N S IY
caption,0.35,K AE P SH IH N
captivate,0.18,K AE P T IH V EY T
captivating,0.16,K AE P T IH V EY T IH NG
captive,2.27,K AE P T IH V
captivity,1.25,K AE P T IH V AH T IY
captor,0.29,K AE P T AH R
capture,10.59,K AE P CH AH R
car,483.06,K AA R
carabao,0.04,K AE R AH B AW
caramel,1.24,K AE R AH M AH L
caravan,1.45,K AE R AH V AE N
caraway,0.18,K AE R AH W EY
carbide,0.39,K AA R B AY D
carbine,0.29,K AA R B AY N
carbohydrate,0.08,K AA R B OW HH AY D R EY T
carbon,5.24,K AA R B IH N
carbonate,0.2,K AA R B IH N EY T
carborundum,0.14,K AA R B AH R AH N D AH M
carcass,1.55,K AA R K IH S
carcinoma,0.22,K AA R S AH N OW M AH
card,85.43,K AA R D
cardamom,0.2,K AA R D AH M AH M
cardboard,2.71,K AA R D B OW R D
cardiac,3.96,K AA R D IY AE K
cardinal,4.08,K AA R D N AH L
cardiomegaly,0.02,K AA R D IY OW M EH G AH L IY
cardiovascular,0.33,K AA R D IY OW V AE S K Y UH L AH R
care,485.25,K EH R
careen,0.08,K AH R IY N
career,45.2,K AH R IH R
carefree,1.35,K EH R F R IY
careful,108.82,K AE R F AH L
careless,4.92,K AE R L IH S
carelessness,0.65,K AE R L IH S N EH S
caress,1.35,K AH R EH S
caretaker,2.45,K EH R T EY K AH R
careworn,0.04,K AE R W OW R N
cargo,9,K AA R G OW
caricature,0.29,K AE R IH K AH CH UH R
caricaturist,0.06,K EH R AH K AH CH AH R AH S T
carload,0.33,K AA R L OW D
carnal,1.2,K AA R N AH L
carnality,0.06,K AA R N AE L IH T IY
carne,0.49,K AA R N
carnival,7.12,K AA R N AH V AH L
carob,0.22,K EH R AH B
carol,28.73,K AE R AH L
carouse,0.12,K AH R AW Z
carousing,0.16,K AH R AW Z IH NG
carp,0.76,K AA R P
carpenter,6,K AA R P AH N T AH R
carpentry,0.45,K AA R P AH N T R IY
carpet,11.65,K AA R P AH T
carpeting,0.57,K AA R P IH T IH NG
carping,0.08,K AA R P IH NG
carport,0.1,K AA R P OW R T
carriage,7.47,K AE R IH JH
carrier,6.39,K AE R IY AH R
carrot,3.82,K AE R AH T
carrozza,0.06,K AA R OW Z AH
carry,65.9,K AE R IY
carrying,28.45,K EH R IY IH NG
cart,9.04,K AA R T
carte,1.18,K AA R T
cartel,1.27,K AA R T EH L
cartilage,0.73,K AA R T AH L IH JH
carton,1.88,K AA R T AH N
cartoon,3.76,K AA R T UW N
cartoonist,0.33,K AA R T UW N AH S T
cartridge,0.96,K AA R T R IH JH
cartwheel,0.29,K AA R T HH W IY L
carve,3.1,K AA R V
carver,3.16,K AA R V AH R
carving,1.98,K AA R V IH NG
cascade,0.63,K AE S K EY D
case,282.41,K EY S
casebook,0.04,K EY S B UH K
casein,0.02,K EY S IY N
casework,0.06,K EY S W AH R K
caseworker,0.27,K EY S W AH R K AH R
cash,72.43,K AE SH
cashew,0.22,K AE SH UW
cashmere,1.51,K AE ZH M IH R
casino,20.37,K IH S IY N OW
cask,0.12,K AE S K
casket,3.18,K AE S K IH T
cast,23.14,K AE S T
caste,0.86,K AE S T
caster,0.08,K AE S T AH R
castigate,0.02,K AE S T IH G EY T
casting,4.16,K AE S T IH NG
castle,21.55,K AE S AH L
castor,1.31,K AE S T AH R
casual,7.31,K AE ZH UW AH L
casualty,2.71,K AE ZH AH L T IY
cat,66.33,K AE T
cataclysmic,0.33,K AE T IH K L IH Z M IH K
catalogue,2.12,K AE T IH L AO G
catalyst,0.78,K AE T AH L AH S T
catalytic,0.14,K AE T AH L IH T IH K
catapult,0.61,K AE T AH P UH L T
catastrophe,2.47,K IH T AE S T R AH F IY
catastrophic,1.27,K AE T IH S T R AA F IH K
catastrophically,0.02,K AE T AH S T R AA F IH K AH L IY
catch,135.51,K AE CH
catcher,3.75,K AE CH AH R
catching,12.71,K AE CH IH NG
catchy,2.14,K AE CH IY
catechism,0.29,K AE T IH K IH Z AH M
categorical,0.02,K AE T IH G AO R IH K AH L
categorize,0.16,K AE T IH G AH R AY Z
category,4.06,K AE T AH G OW R IY
cater,1.25,K EY T AH R
caterer,2.08,K EY T AH R AH R
caterpillar,1.12,K AE T AH R P IH L AH R
catfish,1.24,K AE T F IH SH
catharsis,0.33,K AH TH AA R S IH S
cathedral,3.73,K AH TH IY D R AH L
catheter,1.08,K AE TH IH T AH R
cathode,0.16,K AE TH OW D
catlike,0.27,K AE T L AY K
catsup,0.06,K EH CH AH P
cattle,13.22,K AE T AH L
caucus,0.29,K AO K IH S
cauliflower,0.55,K AO L IH F L AW AH R
causal,0.2,K AO Z AH L
causative,0.08,K AO Z IH T IH V
cause,310.04,K AO Z
causing,9.84,K AO Z IH NG
cauterize,0.29,K AO T AH R AY Z
caution,5.16,K AO SH IH N
cautious,3.35,K AO SH IH S
cavalcade,0.08,K AE V AH L K EY D
cavaliere,0.08,K AA V AA L IH R IY
cavalry,6.22,K AE V AH L R IY
cave,13.98,K EY V
caveat,0.33,K AE V IY AA T
caveman,2.02,K EY V M AE N
cavern,1.1,K AE V AH R N
cavernous,0.06,K AE V AH R N AH S
caviar,3.82,K AE V IY AA R
cavity,2.98,K AE V AH T IY
cavort,0.06,K AH V AO R T
cavorting,0.31,K AH V AO R T IH NG
caw,0.37,K AO
cayenne,0.75,K AY EH N
cease,8.73,S IY S
ceaseless,0.16,S IY S L IH S
ceiling,8.35,S IY L IH NG
celebrant,0.06,S EH L AH B R AH N T
celebrate,24.86,S EH L IH B R EY T
celebration,9.88,S EH L IH B R EY SH IH N
celebrity,7.29,S AH L EH B R AH T IY
celery,1.86,S EH L AH R IY
celestial,1.08,S AH L EH S CH AH L
celiac,0.02,S IY L IY AE K
cell,54.35,S EH L
cellar,9.37,S EH L AH R
cellist,0.41,CH EH L IH S T
cellophane,0.82,S EH L AH F EY N
cellular,2.84,S EH L Y UH L AH R
cellulose,0.12,S EH L Y AH L OW S
cement,4.59,S IH M EH N T
cemetery,8.69,S EH M AH T EH R IY
censor,0.82,S EH N S AH R
censorship,1.06,S EH N S AH R SH IH P
censure,0.16,S EH N CH AH R
census,1.37,S EH N S IH S
cent,9.47,S EH N T
centenary,0.02,S EH N T EH N AH R IY
centennial,0.39,S EH N T EH N IY AH L
center,45.78,S EH N T AH R
centering,0.2,S EH N T AH R IH NG
centerline,0.04,S EH N T AH R L AY N
centimeter,0.2,S EH N T AH M IY T AH R
central,24.75,S EH N T R AH L
centralization,0.02,S EH N T R AH L AH Z EY SH IH N
centralize,0.02,S EH N T R AH L AY Z
centrally,0.1,S EH N T R AA L L IY
centrifugal,0.29,S EH N T R IH F Y UW G AH L
centrifugation,0.02,S EH N T R IH F Y AH G EY SH AH N
centrifuge,0.1,S EH N T R AH F Y UW JH
centrist,0.02,S EH N T R IH S T
century,20.84,S EH N CH AH R IY
ceramic,1.22,S AH R AE M IH K
ceramics,0.57,S AH R AE M IH K S
cereal,6.35,S IH R IY AH L
cerebellum,0.24,S EH R AH B EH L AH M
cerebral,2.02,S EH R AH B R AH L
cerebrate,0.02,S EH R AH B R EY T
ceremonial,1.37,S EH R AH M OW N IY AH L
ceremony,15.82,S EH R AH M OW N IY
certain,85.37,S AH R T AH N
certainty,3.02,S AH R T AH N T IY
certificate,8.98,S AH R T IH F IH K IH T
certification,0.37,S AH R T IH F AH K EY SH IH N
certify,0.49,S AH R T IH F AY
certiorari,0.04,S AH R SH IY AH R AE R AY
certitude,0.1,S AH R T IH T UW D
cerulean,0.31,S AH R UW L IY AH N
cessation,0.2,S EH S EY SH IH N
cetera,4.88,S EH T AH R AH
chafe,0.25,CH EY F
chaff,0.22,CH AE F
chagrin,0.22,SH AH G R IH N
chain,21.22,CH EY N
chair,49.24,CH EH R
chairing,0.2,CH EH R IH NG
chairman,11.86,CH AE R M AH N
chairmanship,0.22,CH AE R M AH N SH IH P
chaise,0.29,SH EY Z
chalk,3.59,CH AO K
chalky,0.12,CH AO K IY
challenge,19.86,CH AE L IH N JH
challenger,1.51,CH AE L IH N JH AH R
challenging,3.8,CH AE L IH N JH IH NG
chamber,12.75,CH EY M B AH R
chambermaid,0.61,CH EY M B AH R M EY D
chamois,0.22,SH AE M IY
champ,15.12,CH AE M P
champagne,31.29,SH AE M P EY N
champion,20.92,CH AE M P IY AH N
championship,9.8,CH AE M P IY AH N SH IH P
champs,1.1,CH AE M P S
chance,241.24,CH AE N S
chancellor,4.12,CH AE N S AH L AH R
chancery,0.08,CH AE N S AH R IY
chandelier,1.41,SH AE N D AH L IH R
change,240.35,CH EY N JH
changeable,0.25,CH EY N JH AH B AH L
changing,26.25,CH EY N JH IH NG
channel,24.41,CH AE N AH L
chant,2.27,CH AE N T
chanter,0.02,CH AE N T AH R
chantey,0.08,SH AE N T IY
chaos,9.39,K EY AA S
chaotic,1.12,K EY AA T IH K
chap,6.35,CH AE P
chapel,7.96,CH AE P AH L
chaperon,0.63,SH AE P AH R OW N
chaperone,1.96,SH AE P AH R OW N
chaplain,2.27,CH AE P L IH N
chapter,11.84,CH AE P T AH R
char,1.41,CH AA R
character,38.16,K AE R AH K T AH R
characteristic,1.18,K AE R AH K T AH R IH S T IH K
characterization,0.14,K AE R IH K T AH R AH Z EY SH IH N
characterize,0.69,K AE R IH K T AH R AY Z
charcoal,1.76,CH AA R K OW L
charge,89.39,CH AA R JH
chariot,2.02,CH AE R IY AH T
charisma,0.98,K AH R IH Z M AH
charitable,2.04,CH AE R AH T AH B AH L
charity,16.49,CH AE R IH T IY
charlatan,0.86,CH AA R L IH T IH N
charlotte,22.12,SH AA R L AH T
charm,15.57,CH AA R M
charmer,1.24,CH AA R M AH R
charming,28.12,CH AA R M IH NG
charmingly,0.33,CH AA R M IH NG L IY
chart,9.47,CH AA R T
charter,2.96,CH AA R T AH R
charting,0.33,CH AA R T IH NG
chase,32.8,CH EY S
chasing,18.29,CH EY S IH NG
chasm,0.35,K AE Z AH M
chassis,0.65,CH AE S IY
chastisement,0.08,CH AE S T IH Z M AH N T
chastity,1.45,CH AE S T IH T IY
chat,16.27,CH AE T
chateau,2.53,SH AE T OW
chattel,0.29,CH AE T AH L
chatter,4.67,CH AE T AH R
chattering,4.12,CH AE T AH R IH NG
chatty,1,CH AE T IY
chauffeur,5.63,SH OW F AH R
chaw,0.2,CH AO
cheap,36.24,CH IY P
cheaper,4.92,CH IY P AH R
cheat,17.67,CH IY T
check,278.98,CH EH K
checkbook,2.35,CH EH K B UH K
checker,1.1,CH EH K AH R
checking,32.47,CH EH K IH NG
checklist,0.76,CH EH K L IH S T
checkup,2.1,CH EH K AH P
cheek,7.16,CH IY K
cheekbone,0.27,CH IY K B OW N
cheer,18.69,CH IH R
cheerful,3.73,CH IH R F AH L
cheerfulness,0.04,CH IH R F AH L N EH S
cheerleader,6.45,CH IH R L IY D AH R
cheery,1.06,CH IH R IY
cheese,39.04,CH IY Z
cheesecloth,0.04,CH IY Z K L AO TH
cheetah,2.29,CH IY T AH
chef,11.88,SH EH F
chemical,11.35,K EH M IH K AH L
chemise,0.02,SH AH M IY Z
chemist,1.86,K EH M IH S T
chemistry,8.67,K EH M IH S T R IY
cherish,4.45,CH EH R IH SH
cherry,13.59,CH EH R IY
cherub,0.61,CH EH R AH B
chess,7.45,CH EH S
chest,40.98,CH EH S T
chestnut,1.27,CH EH S N AH T
chew,9.06,CH UW
chewing,5.51,CH UW IH NG
chic,2.33,SH IY K
chicanery,0.24,SH IH K EY N AH R IY
chick,26.16,CH IH K
chicken,61.73,CH IH K AH N
chide,0.1,CH AY D
chief,77.9,CH IY F
chieftain,0.29,CH IY F T IH N
chien,0.12,CH EH N
chigger,0.12,CH IH G AH R
child,157.65,CH AY L D
childbirth,1.53,CH AY L D B AH R TH
childhood,14.18,CH AY L D HH UH D
childish,4.9,CH AY L D IH SH
childishness,0.16,CH AY L D IH SH N EH S
childless,0.59,CH AY L D L AH S
childlike,0.63,CH AY L D L AY K
chili,7.49,CH IH L IY
chill,16.24,CH IH L
chilly,4.31,CH IH L IY
chime,0.92,CH AY M
chimney,4.18,CH IH M N IY
chin,12.69,CH IH N
china,24.86,CH AY N AH
chink,1.43,CH IH NG K
chinless,0.02,CH IH N L AH S
chip,20.61,CH IH P
chipper,1.29,CH IH P AH R
chiropractor,0.88,K AY R AH P R AE K T AH R
chirp,0.59,CH AH R P
chirping,0.98,CH AH R P IH NG
chisel,0.88,CH IH Z AH L
chivalrous,0.35,SH IH V AH L R IH S
chivalry,1.2,SH IH V AH L R IY
chloride,0.9,K L OW R AY D
chlorine,0.75,K L OW R IY N
chlorpromazine,0.02,K L OW R P R AA M AH Z IY N
chock,0.18,CH AA K
chocolate,29.39,CH AO K L IH T
choice,97.55,CH OY S
choicest,0.1,CH OY S AH S T
choir,5.31,K W AY AH R
choke,6.47,CH OW K
choking,5.1,CH OW K IH NG
cholera,1.1,K AA L AH R AH
cholesterol,1.86,K AH L EH S T AH R AO L
cholinesterase,0.08,K OW L AH N EH S T AH R EY S
chomp,0.25,CH AA M P
choose,48.06,CH UW Z
choosy,0.59,CH UW Z IY
chop,13.61,CH AA P
chopper,11.69,CH AA P AH R
choppy,0.25,CH AA P IY
choral,0.22,K OW R AH L
chord,1.82,K AO R D
chore,1,CH OW R
choreograph,0.22,K AO R IY AH G R AE F
choreographer,1.04,K OW R IY AA G R AH F AH R
choreography,0.88,K OW R IY AA G R AH F IY
chortle,0.1,CH AO R T AH L
chorus,6.08,K OW R IH S
chow,6.86,CH AW
chowder,1.61,CH AW D AH R
christen,0.63,K R IH S AH N
christening,0.75,K R IH S AH N IH NG
chromatic,0.06,K R OW M AE T IH K
chromatography,0.08,K R OW M AH T AA G R AH F IY
chrome,1.27,K R OW M
chromic,0.18,K R OW M IH K
chromium,0.65,K R OW M IY AH M
chronic,4.94,K R AA N IH K
chronically,0.22,K R AA N IH K L IY
chronicle,1.57,K R AA N IH K AH L
chronicler,0.2,K R AA N IH K L AH R
chronological,0.33,K R AA N AH L AA JH IH K AH L
chronology,0.2,K R AH N AA L AH JH IY
chrysanthemum,0.24,K R IH S AE N TH AH M AH M
chubby,4.18,CH AH B IY
chuck,21.49,CH AH K
chuckle,1.59,CH AH K AH L
chug,2.33,CH AH G
chum,3.06,CH AH M
chump,4.1,CH AH M P
chunk,4.14,CH AH NG K
chunky,1.39,CH AH NG K IY
church,69.67,CH AH R CH
churchgoer,0.25,CH AH R CH G OW AH R
churchgoing,0.14,CH AH R CH G OW IH NG
churchman,0.14,CH AH R CH M AH N
churchyard,0.31,CH AH R CH Y AA R D
churn,0.61,CH AH R N
churning,0.49,CH AH R N IH NG
chute,3.61,SH UW T
