Word,Length,Freq_HAL,SUBTLWF,Pron,NPhon,NSyll,MorphSp,MorphPr,NMorph,POS,I_Mean_RT,I_Mean_Accuracy,X,Item
receptive,9,1036,1.18,rI.s"Ep.tIv,8,3,{re--cept--ive},{rI-.-s"Ep.t--Iv},3,JJ,806.09,0.97,,receptive
recess,6,511,3.49,r"i.sEs,5,2,{re--cess},{r"i-.-sEs},2,NN,730.15,1,,recess
recessed,8,272,0.31,rI.s"Est,6,2,{re--cess}>ed>,{rI-.-s"Es}>t>,3,VB|JJ,825.38,1,,recessed
recession,9,2223,0.45,rI.s"E.Sn=,6,3,{re--cess}>ion>,{rI-.-s"E.S$}>n=>,3,NN,737.03,1,,recession
recessive,9,581,0.08,rI.s"Es.Iv,7,3,{re--cess}>ive>,{rI-.-s"Es}.>Iv>,3,JJ,661.29,1,,recessive
recharge,8,835,1.18,r%i.tS"ArdZ,6,2,<re<{charge},<r%i<.{tS"ArdZ},2,VB|NN,772.03,1,,recharge
recheck,7,255,0.53,r%i.tS"Ek,5,2,<re<{check},<r%i<.{tS"Ek},2,VB,1033.58,0.61,,recheck
recipe,6,10197,7.61,r"E.s@.pi,6,3,{recipe},{r"E.s@.pi},1,NN,630.03,0.97,,recipe
recipes,7,6955,2.24,r"E.s@.piz,7,3,{recipe}>s>,{r"E.s@.pi}>z>,2,NN,673.29,1,,recipes
recipient,9,4373,1.16,rI.s"I.pi@nt,9,3,{recipi--ent},{rI.s"I.pi--@nt},2,JJ|NN,690.06,1,,recipient
recipients,10,3386,0.27,rI.s"I.pi@nts,10,3,{recipi--ent}>s>,{rI.s"I.pi--@nt}>s>,3,NN,705.52,1,,recipients
recital,7,525,2.94,r@.s"aI4.l=,6,3,{re--cite}>al>,{r@-.-s"aI4}.>l=>,3,NN,768.61,0.97,,recital
recitals,8,100,0.22,r@.s"aI4.l=z,7,3,{re--cite}>al>>s>,{r@-.-s"aI4}.>l=>>z>,4,NN,749.24,0.85,,recitals
recite,6,771,3,r@.s"aIt,5,2,{re--cite},{r@-.-s"aIt},2,VB,689.58,0.94,,recite
recited,7,395,0.33,r@.s"aI4.@d,7,3,{re--cite}>ed>,{r@-.-s"aI4}.>@d>,3,VB,750.84,1,,recited
reciting,8,428,0.59,r@.s"aI4.IN,7,3,{re--cite}>ing>,{r@-.-s"aI4}.>IN>,3,VB|NN,674.31,0.97,,reciting
reckless,8,1123,4.92,r"Ek.l@s,6,2,{reck}>less>,{r"Ek}.>l@s>,2,JJ,692.19,0.97,,reckless
recklessness,12,89,0.29,r"Ek.l@s.n@s,9,3,{reck}>less>>ness>,{r"Ek}.>l@s>.>n@s>,3,NN,834.58,0.97,,recklessness
reckon,6,1691,11.69,r"E.k@n,5,2,{reckon},{r"E.k@n},1,VB,696.59,0.97,,reckon
reckoned,8,708,0.75,r"E.k@nd,6,2,{reckon}>ed>,{r"E.k@n}>d>,2,VB,774.29,0.91,,reckoned
reckoning,9,504,1.08,r"E.k@n.IN,7,3,{reckon}>ing>,{r"E.k@n}.>IN>,2,NN|VB,737.19,0.94,,reckoning
reckons,7,116,0.55,r"E.k@nz,6,2,{reckon}>s>,{r"E.k@n}>z>,2,VB,718.59,0.85,,reckons
reclaim,7,851,1.39,rI.kl"em,6,2,{re--claim},{rI-.-kl"em},2,VB,689.85,0.97,,reclaim
reclaimed,9,255,0.25,rI.kl"emd,7,2,{re--claim}>ed>,{rI-.-kl"em}>d>,3,VB,731.19,0.94,,reclaimed
recline,7,116,0.16,rI.kl"aIn,6,2,{re--cline},{rI-.-kl"aIn},2,VB,692.93,0.88,,recline
reclining,9,175,0.43,rI.kl"aIn.IN,8,3,{re--cline}>ing>,{rI-.-kl"aIn}.>IN>,3,VB,760.88,1,,reclining
recluse,7,219,0.67,rI.kl"us,6,2,{recluse},{rI.kl"us},1,NN,796.11,0.8,,recluse
recognize,9,21023,34.31,r"E.k@g.naIz,8,3,{re--cognize},{r"E-.-k@g.naIz},2,VB,634.39,1,,recognize
recognized,10,16583,8.98,r"E.k@g.naIzd,9,3,{re--cognize}>ed>,{r"E-.-k@g.naIz}>d>,3,VB,724.09,0.97,,recognized
recoil,6,1127,0.43,rI.k"OIl,5,2,{re--coil},{rI-.-k"OIl},2,VB,722.53,1,,recoil
recoiled,8,100,0.06,rI.k"OIld,6,2,{re--coil}>ed>,{rI-.-k"OIl}>d>,3,VB,770.26,0.94,,recoiled
recollect,9,301,1.06,r%E.k@.l"Ekt,8,3,{recollect},{r%E.k@.l"Ekt},1,VB,712.16,0.97,,recollect
recommence,10,31,0.04,r%i.k@.m"Ens,8,3,<re<{commence},<r%i<.{k@.m"Ens},2,VB,908.39,0.88,,recommence
recommend,9,37525,14,r%E.k@.m"End,8,3,{recommend},{r%E.k@.m"End},1,VB,754.24,1,,recommend
recommends,10,3163,0.55,r%E.k@.m"Endz,9,3,{recommend}>s>,{r%E.k@.m"End}>z>,2,VB,846.66,0.97,,recommends
recompense,10,219,0.25,r"E.k@m.pEns,9,3,{re--com--pense},{r"E-.-k@m-.-pEns},3,NN,982.38,0.88,,recompense
reconcile,9,1178,1.14,r"E.k@n.saIl,8,3,{re--concile},{r"E-.-k@n.saIl},2,VB,838.43,0.91,,reconcile
reconciled,10,488,0.67,r"E.k@n.saIld,9,3,{re--concile}>ed>,{r"E-.-k@n.saIl}>d>,3,VB,797.58,0.97,,reconciled
reconciles,10,85,0.04,r"E.k@n.saIlz,9,3,{re--concile}>s>,{r"E-.-k@n.saIl}>z>,3,VB,884.47,0.97,,reconciles
reconstruct,11,800,1.14,r%i.k@n.str"Vkt,11,3,<re<{con--struct},<r%i<.{k@n-.-str"Vkt},3,VB,709.25,0.97,,reconstruct
reconvened,10,33,0.02,r%i.k@n.v"ind,9,3,<re<{con--vene}>ed>,<r%i<.{k@n-.-v"in}>d>,4,VB|JJ,1054.38,0.87,,reconvened
reconvenes,10,14,0.06,r%i.k@n.v"inz,9,3,<re<{con--vene}>s>,<r%i<.{k@n-.-v"in}>z>,4,VB,1162,0.4,,reconvenes
record,6,61996,85.59,r"E.k@`d,5,2,{record},{r"E.k@`d},1,NN,575.44,1,,record
recorded,8,16695,8.41,rI.k"Or4.@d,8,3,{record}>ed>,{rI.k"Or4}.>@d>,2,VB,675.24,1,,recorded
recorder,8,4158,4.94,rI.k"Or4.@`,7,3,{record}>er>,{rI.k"Or4}.>@`>,2,NN,782.79,1,,recorder
recording,9,20808,14.67,rI.k"Or4.IN,8,3,{record}>ing>,{rI.k"Or4}.>IN>,2,NN|VB,790.38,1,,recording
recordings,10,8926,1.75,rI.k"Or4.INz,9,3,{record}>ing>>s>,{rI.k"Or4}.>IN>>z>,3,NN,656.21,1,,recordings
records,7,45965,40.51,r"E.k@`dz,6,2,{record}>s>,{r"E.k@`d}>z>,2,NN,651.24,1,,records
recount,7,337,0.73,r"i.kaUnt,6,2,<re<{count},<r"i<.{kaUnt},2,NN,662.28,0.94,,recount
recounted,9,333,0.06,rI.k"aUn4.@d,8,3,{recount}>ed>,{rI.k"aUn4}.>@d>,2,VB,667.3,0.97,,recounted
recounting,10,222,0.14,rI.k"aUn4.IN,8,3,{recount}>ing>,{rI.k"aUn4}.>IN>,2,VB|NN,827.79,0.94,,recounting
recounts,8,322,1.06,r"i.kaUnts,7,2,<re<{count}>s>,<r"i<.{kaUnt}>s>,3,NN,766.71,0.97,,recounts
recoup,6,406,0.24,rI.k"up,5,2,{recoup},{rI.k"up},1,VB,810.69,0.76,,recoup
recourse,8,1831,0.75,r"i.kOrs,6,2,{recourse},{r"i.kOrs},1,NN,829.27,0.88,,recourse
recover,7,6651,8.02,rI.k"V.v@`,6,3,{recover},{rI.k"V.v@`},1,VB,724.47,0.97,,recover
recovered,9,4255,8.78,rI.k"V.v@`d,7,3,<re<{cover}>ed>,<rI<.{k"V.v@`}>d>,3,VB,720.39,0.97,,recovered
recovers,8,570,0.55,rI.k"V.v@`z,7,3,<re<{cover}>s>,<rI<.{k"V.v@`}>z>,3,VB,723.3,0.94,,recovers
recreate,8,1604,1.04,r%i.kri."et,7,3,<re<{create},<r%i<.{kri."et},2,VB,722.39,1,,recreate
recreates,9,136,0.08,r%i.kri."ets,8,3,<re<{create}>s>,<r%i<.{kri."et}>s>,3,VB,854.73,0.91,,recreates
recruit,7,3052,3.69,r@.kr"ut,6,2,{recruit},{r@.kr"ut},1,NN|VB,742.68,0.88,,recruit
recruited,9,1450,2.73,r@.kr"u4.@d,8,3,{recruit}>ed>,{r@.kr"u4}.>@d>,2,VB,726.72,0.97,,recruited
recruiter,9,4847,0.69,r@.kr"u4.@`,7,3,{recruit}>er>,{r@.kr"u4}.>@`>,2,NN,774.23,0.97,,recruiter
recruiting,10,11468,2.29,r@.kr"u4.IN,8,3,{recruit}>ing>,{r@.kr"u4}.>IN>,2,VB|NN,716.9,0.94,,recruiting
recruitment,11,1874,0.82,r@.kr"ut.m@nt,10,3,{recruit}>ment>,{r@.kr"ut}.>m@nt>,2,NN,791.38,1,,recruitment
recruits,8,1524,1.61,r@.kr"uts,7,2,{recruit}>s>,{r@.kr"ut}>s>,2,NN|VB,656.91,0.94,,recruits
rectal,6,403,0.9,r"Ek.t@l,6,2,{rect--al},{r"Ek.t--@l},2,JJ,807.03,0.97,,rectal
rectangle,9,1684,0.22,r"Ek.taN.gl=,8,3,{rect--angle},{r"Ek.t--aN.gl=},2,NN,715.41,1,,rectangle
rectify,7,685,0.82,r"Ek.t@.faI,7,3,{rect--ify},{r"Ek.t--@.faI},2,VB,758.07,0.84,,rectify
rectitude,9,75,0.16,r"Ek.tI.tud,8,3,{rect--itude},{r"Ek.t--I.tud},2,NN,821.13,0.48,,rectitude
rector,6,665,0.35,r"Ek.t@`,5,2,{rector},{r"Ek.t@`},1,NN,699.91,0.65,,rector
rectory,7,107,0.53,r"Ek.t@`.i,6,3,{rector}>y>,{r"Ek.t@`}.>i>,2,NN,708.45,0.67,,rectory
rectum,6,862,0.49,r"Ek.t@m,6,2,{rect--um},{r"Ek.t--@m},2,NN,738.97,0.91,,rectum
recumbent,9,232,0.02,rI.k"Vm.b@nt,9,3,{re--cumb--ent},{rI-.-k"Vm.b--@nt},3,JJ,848.04,0.74,,recumbent
recur,5,232,0.04,rI.k"3`,4,2,{re--cur},{rI-.-k"3`},2,VB,861.65,0.79,,recur
recurrence,10,325,0.29,rI.k"3`.@ns,7,3,{re--cur}>ence>,{rI-.-k"3`$}.>@ns>,3,NN,827.57,0.97,,recurrence
recurrent,9,782,0.25,rI.k"3`.@nt,7,3,{re--cur}>ent>,{rI-.-k"3`$}.>@nt>,3,JJ,773.23,0.91,,recurrent
recurring,9,1789,1.16,rI.k"3`.IN,6,3,{re--cur}>ing>,{rI-.-k"3`}.>IN>,3,VB|NN|JJ,766.06,1,,recurring
recursive,9,1480,0.06,rI.k"3`.sIv,7,3,{re--curs--ive},{rI-.-k"3`.s--Iv},3,JJ,875.22,0.82,,recursive
recycle,7,1094,0.86,r%i.s"aI.kl=,6,3,<re<{cycle},<r%i<.{s"aI.kl=},2,VB,696.3,0.97,,recycle
red,3,103819,148.06,r"Ed,3,1,{red},{r"Ed},1,JJ|NN,542.76,0.97,,red
redbirds,8,26,0.04,"rEd%b3`dz,7,2,NULL,NULL,NULL,NULL,742.67,0.91,,redbirds
redbreast,9,3,0.12,r"Ed.br%Est,8,2,{red}{breast},{r"Ed}.{br%Est},2,NN,892.38,0.85,,redbreast
redcoat,7,17,0.08,r"Ed.k%ot,6,2,{red}{coat},{r"Ed}.{k%ot},2,NN,811.55,0.91,,redcoat
redcoats,8,30,0.37,r"Ed.k%ots,7,2,{red}{coat}>s>,{r"Ed}.{k%ot}>s>,3,NN,833.22,0.94,,redcoats
redden,6,158,0.04,r"Ed.n=,4,2,{red}>en>,{r"Ed}.>n=>,2,VB,863.5,0.74,,redden
reddened,8,194,0.06,r"Ed.n=d,5,2,{red}>en>>ed>,{r"Ed}.>n=>>d>,3,VB,756.92,0.79,,reddened
redder,6,124,0.25,r"E4.@`,4,2,{red}>er>,{r"E4}.>@`>,2,JJ,818.9,0.64,,redder
redding,7,547,0.39,r"E.4IN,5,2,{redding},{r"E.4IN},1,NN,779.8,0.61,,redding
reddish,7,526,0.2,r"E4.IS,5,2,{red}>ish>,{r"E4}.>IS>,2,JJ,699.94,0.97,,reddish
redeem,6,662,1.63,rI.d"im,5,2,{redeem},{rI.d"im},1,VB,657.42,0.91,,redeem
redeemed,8,684,0.63,rI.d"imd,6,2,{redeem}>ed>,{rI.d"im}>d>,2,VB,663.81,0.97,,redeemed
redeeming,9,831,0.57,rI.d"im.IN,7,3,{redeem}>ing>,{rI.d"im}.>IN>,2,VB|JJ|NN,722.69,0.97,,redeeming
redefined,9,577,0.16,r%i.dI.f"aInd,8,3,<re<{de--fine}>ed>,<r%i<.{dI-.-f"aIn}>d>,4,VB|JJ,816.03,0.85,,redefined
redemption,10,2620,2.2,rI.d"Emp.Sn=,8,3,{redempt--ion},{rI.d"Emp.S--n=},2,NN,759.09,1,,redemption
redeploy,8,24,0.24,r%i.dI.pl"OI,7,3,<re<{deploy},<r%i<.{dI.pl"OI},2,VB,1125.2,0.33,,redeploy
redhead,7,668,3.65,r"Ed.h%Ed,6,2,{red}{head},{r"Ed}.{h%Ed},2,NN,767.79,0.97,,redhead
redheaded,9,380,0.88,r"Ed.h%E4.@d,8,3,{red}{head}>ed>,{r"Ed}.{h%E4}.>@d>,3,JJ,804.66,1,,redheaded
redheads,8,294,0.55,r"Ed.h%Edz,7,2,{red}{head}>s>,{r"Ed}.{h%Ed}>z>,3,NN,659.06,0.97,,redheads
redirect,8,1989,0.94,r%i.d@.r"Ekt,8,3,<re<{direct},<r%i<.{d@.r"Ekt},2,VB,838.15,0.97,,redirect
redneck,7,950,1.76,r"Ed.n%Ek,6,2,{red}{neck},{r"Ed}.{n%Ek},2,NN,722.15,1,,redneck
redo,4,1061,1.59,r%i.d"u,4,2,<re<{do},<r%i<.{d"u},2,VB,799.26,0.72,,redo
redouble,8,162,0.22,r%i.d"V.bl=,6,3,<re<{double},<r%i<.{d"V.bl=},2,VB,939.86,0.71,,redouble
redoubled,9,68,0.14,r%i.d"V.bl=d,7,3,<re<{double}>ed>,<r%i<.{d"V.bl=}>d>,3,VB,836.96,0.87,,redoubled
redoubt,7,20,0.18,rI.d"aUt,5,2,{redoubt},{rI.d"aUt},1,NN,877.56,0.58,,redoubt
redress,7,976,0.22,rI.dr"Es,6,2,{redress},{rI.dr"Es},1,NN|VB,900.63,0.75,,redress
redressed,9,70,0.06,rI.dr"Est,7,2,{redress}>ed>,{rI.dr"Es}>t>,2,VB|JJ,818.94,1,,redressed
reds,4,1723,2.33,r"Edz,4,1,{red}>s>,{r"Ed}>z>,2,NN,703.35,0.97,,reds
redskin,7,66,0.25,r"Ed.sk%In,7,2,{red}{skin},{r"Ed}.{sk%In},2,NN,620.27,0.97,,redskin
reduce,6,21540,4.29,r@.d"us,5,2,{re--duce},{r@-.-d"us},2,VB,646.53,0.91,,reduce
reduced,7,15171,4.86,r@.d"ust,6,2,{re--duce}>ed>,{r@-.-d"us}>t>,3,VB|JJ,696,0.94,,reduced
reducer,7,166,0.06,r@.d"us.@`,6,3,{re--duce}>er>,{r@-.-d"us}.>@`>,3,NN,737.56,0.97,,reducer
reduces,7,4297,0.43,r@.d"us.@z,7,3,{re--duce}>s>,{r@-.-d"us}.>@z>,3,VB,637.21,0.97,,reduces
reducing,8,7030,0.98,r@.d"us.IN,7,3,{re--duce}>ing>,{r@-.-d"us}.>IN>,3,VB,712.19,1,,reducing
reduction,9,8325,1.73,rI.d"Vk.Sn=,7,3,{re--duct--ion},{rI-.-d"Vk.S--n=},3,NN,723.72,0.97,,reduction
reductions,10,1410,0.1,rI.d"Vk.Sn=z,8,3,{re--duct--ion}>s>,{rI-.-d"Vk.S--n=}>z>,4,NN,747.5,0.94,,reductions
redundant,9,3338,1.45,rI.d"Vn.4@nt,9,3,{redund--ant},{rI.d"Vn.4--@nt},2,JJ|NN,783.03,0.94,,redundant
redwood,7,1917,0.73,r"Ed.w%Ud,6,2,{red}{wood},{r"Ed}.{w%Ud},2,NN,794.19,0.97,,redwood
redwoods,8,392,0.1,r"Ed.w%Udz,7,2,{red}{wood}>s>,{r"Ed}.{w%Ud}>z>,3,NN,791.94,0.97,,redwoods
reed,4,6652,9.1,r"id,3,1,{reed},{r"id},1,NN,718.89,0.8,,reed
reedy,5,124,0.14,r"i4.i,4,2,{reed}>y>,{r"i4}.>i>,2,JJ,841.3,0.33,,reedy
reef,4,2981,4,r"if,3,1,{reef},{r"if},1,NN,667.1,0.91,,reef
reefer,6,306,0.96,r"i.f@`,4,2,{reefer},{r"i.f@`},1,NN,982.25,0.5,,reefer
reefs,5,531,0.49,r"ifs,4,1,{reef}>s>,{r"if}>s>,2,NN,799.83,0.88,,reefs
reek,4,160,0.9,r"ik,3,1,{reek},{r"ik},1,NN|VB,715.96,0.79,,reek
reeked,6,92,0.18,r"ikt,4,1,{reek}>ed>,{r"ik}>t>,2,VB|JJ,736.06,0.55,,reeked
reeking,7,93,0.45,r"ik.IN,5,2,{reek}>ing>,{r"ik}.>IN>,2,VB,810.81,0.74,,reeking
reel,4,2752,3.25,r"il,3,1,{reel},{r"il},1,NN|VB,627.06,0.91,,reel
reeled,6,125,0.06,r"ild,4,1,{reel}>ed>,{r"il}>d>,2,VB,802,0.74,,reeled
reeling,7,400,0.98,r"il.IN,5,2,{reel}>ing>,{r"il}.>IN>,2,VB,831.75,0.63,,reeling
reels,5,1376,0.73,r"ilz,4,1,{reel}>s>,{r"il}>z>,2,NN|VB,764,0.82,,reels
reenact,7,22,0.31,r%i.In."akt,7,3,<re<<en<{act},<r%i<.<In<.{"akt},3,VB,1173.04,0.76,,reenact
reentered,9,124,0.12,r%i."En.4@`d,7,3,<re<{enter}>ed>,<r%i<.{"En.4@`}>d>,3,VB,1087.26,0.74,,reentered
ref,3,5665,2.53,r"Ef,3,1,{ref},{r"Ef},1,NN|VB,953.18,0.53,,ref
refer,5,26546,7.33,r@.f"3`,4,2,{re--fer},{r@-.-f"3`},2,VB,707.23,0.94,,refer
referee,7,2297,3.59,r%E.f@`."i,5,3,{re--fer}>ee>,{r%E-.-f@`$}.>"i>,3,NN,786.28,0.85,,referee
reference,9,59999,8.47,r"E.f@`.@ns,7,3,{re--fer}>ence>,{r"E-.-f@`$}.>@ns>,3,NN,650.15,1,,reference
referent,8,188,0.02,r"E.f@`.@nt,7,3,{re--fer}>ent>,{r"E-.-f@`$}.>@nt>,3,NN,901.5,0.62,,referent
referral,8,2637,0.55,r@.f"3`.@l,6,3,{re--fer}>al>,{r@-.-f"3`}.>@l>,3,NN,749.41,1,,referral
referrals,9,1471,0.29,r@.f"3`.@lz,7,3,{re--fer}>al>>s>,{r@-.-f"3`}.>@l>>z>,4,NN,697.82,0.93,,referrals
referred,8,14346,4.41,r@.f"3`d,5,2,{re--fer}>ed>,{r@-.-f"3`}>d>,3,VB,610.67,0.97,,referred
referring,9,16419,6.73,r@.f"3`.IN,6,3,{re--fer}>ing>,{r@-.-f"3`}.>IN>,3,VB,704.57,0.88,,referring
refers,6,10453,1.94,r@.f"3`z,5,2,{re--fer}>s>,{r@-.-f"3`}>z>,3,VB,672.83,0.91,,refers
refill,6,597,2.78,r"i.fIl,5,2,<re<{fill},<r"i<.{fIl},2,NN,593.74,0.97,,refill
refilled,8,240,0.14,r%i.f"Ild,6,2,<re<{fill}>ed>,<r%i<.{f"Il}>d>,3,VB|JJ,671.27,0.88,,refilled
refinance,9,182,0.02,r%i.f@.n"ans,8,3,<re<{finance},<r%i<.{f@.n"ans},2,VB,1042.25,0.83,,refinance
refine,6,763,0.43,rI.f"aIn,5,2,{refine},{rI.f"aIn},1,VB,770.9,0.88,,refine
refined,7,1765,2.02,rI.f"aInd,6,2,{refine}>ed>,{rI.f"aIn}>d>,2,JJ|VB,661.31,0.97,,refined
refinement,10,750,0.53,rI.f"aIn.m@nt,9,3,{refine}>ment>,{rI.f"aIn}.>m@nt>,2,NN,893.3,0.94,,refinement
refinements,11,234,0.18,rI.f"aIn.m@nts,10,3,{refine}>ment>>s>,{rI.f"aIn}.>m@nt>>s>,3,NN,990.69,0.85,,refinements
refiner,7,26,0.04,rI.f"aIn.@`,6,3,{refine}>er>,{rI.f"aIn}.>@`>,2,NN,735.23,0.88,,refiner
refining,8,611,0.25,rI.f"aIn.IN,7,3,{refine}>ing>,{rI.f"aIn}.>IN>,2,NN|VB,759.13,0.88,,refining
refit,5,368,0.24,r"i.fIt,5,2,<re<{fit},<r"i<.{fIt},2,NN,901,0.47,,refit
reflect,7,15241,4.18,r@.fl"Ekt,7,2,{re--flect},{r@-.-fl"Ekt},2,VB,620.21,1,,reflect
reflectance,11,112,0.04,r@.fl"Ekt.@ns,10,3,{re--flect}>ance>,{r@-.-fl"Ekt}.>@ns>,3,NN,1135.82,0.73,,reflectance
reflected,9,3966,1.67,r@.fl"Ekt.@d,9,3,{re--flect}>ed>,{r@-.-fl"Ekt}.>@d>,3,VB|JJ,697.5,0.91,,reflected
reflecting,10,3399,0.63,r@.fl"Ekt.IN,9,3,{re--flect}>ing>,{r@-.-fl"Ekt}.>IN>,3,VB,668.67,1,,reflecting
reflection,10,4507,5.02,r@.fl"Ek.Sn=,8,3,{re--flect}>ion>,{r@-.-fl"Ek.S$}>n=>,3,NN,709.79,0.97,,reflection
reflections,11,1605,0.63,r@.fl"Ek.Sn=z,9,3,{re--flect}>ion>>s>,{r@-.-fl"Ek.S$}>n=>>z>,4,NN,682.25,0.94,,reflections
reflective,10,1143,0.61,r@.fl"Ekt.Iv,9,3,{re--flect}>ive>,{r@-.-fl"Ekt}.>Iv>,3,JJ,727.85,1,,reflective
reflector,9,883,0.27,r@.fl"Ekt.@`,8,3,{re--flect}>or>,{r@-.-fl"Ekt}.>@`>,3,NN,742.75,0.94,,reflector
reflectors,10,282,0.14,r@.fl"Ekt.@`z,9,3,{re--flect}>or>>s>,{r@-.-fl"Ekt}.>@`>>z>,4,NN,848.12,1,,reflectors
reflects,8,4325,1.53,r@.fl"Ekts,8,2,{re--flect}>s>,{r@-.-fl"Ekt}>s>,3,VB,747.16,0.94,,reflects
reflex,6,1291,2.27,r"i.flEks,7,2,{re--flex},{r"i-.-flEks},2,NN,669.82,0.97,,reflex
reflexes,8,708,2.39,r"i.flEks.@z,9,3,{re--flex}>s>,{r"i-.-flEks}.>@z>,3,NN,750.52,1,,reflexes
reflexive,9,203,0.02,r@.fl"Eks.Iv,9,3,{re--flex}>ive>,{r@-.-fl"Eks$}.>Iv>,3,JJ|NN,772.63,0.9,,reflexive
reflux,6,171,0.35,r"i.flVks,7,2,<re<{flux},<r"i<.{flVks},2,NN,860.04,0.7,,reflux
refolded,8,21,0.02,r%i.f"old.@d,8,3,<re<{fold}>ed>,<r%i<.{f"old}.>@d>,3,VB|JJ,758.79,0.85,,refolded
reform,6,15887,3.61,r@.f"Orm,6,2,{re--form},{r@-.-f"Orm},2,NN|VB,665.37,0.91,,reform
reformed,8,1114,1.14,r@.f"Ormd,7,2,{re--form}>ed>,{r@-.-f"Orm}>d>,3,VB|JJ,657,1,,reformed
reformer,8,182,0.22,r@.f"Orm.@`,7,3,{re--form}>er>,{r@-.-f"Orm}.>@`>,3,NN,755.59,0.91,,reformer
reformers,9,562,0.12,r@.f"Orm.@`z,8,3,{re--form}>er>>s>,{r@-.-f"Orm}.>@`>>z>,4,NN,739.66,0.91,,reformers
reforming,9,466,0.24,r@.f"Orm.IN,8,3,{re--form}>ing>,{r@-.-f"Orm}.>IN>,3,VB,758.87,0.97,,reforming
reforms,7,2865,0.31,r@.f"Ormz,7,2,{re--form}>s>,{r@-.-f"Orm}>z>,3,NN|VB,679.67,0.94,,reforms
refract,7,33,0.04,rI.fr"akt,7,2,{re--fract},{rI-.-fr"akt},2,VB,874.29,0.73,,refract
refracted,9,63,0.1,rI.fr"akt.@d,9,3,{re--fract}>ed>,{rI-.-fr"akt}.>@d>,3,VB|JJ,878.8,0.86,,refracted
refraction,10,377,0.16,rI.fr"ak.Sn=,8,3,{re--fract}>ion>,{rI-.-fr"ak.S$}>n=>,3,NN,778.97,1,,refraction
refractive,10,242,0.04,rI.fr"akt.Iv,9,3,{re--fract}>ive>,{rI-.-fr"akt}.>Iv>,3,JJ,889.76,0.74,,refractive
refrain,7,3280,2.04,rI.fr"en,6,2,{refrain},{rI.fr"en},1,VB|NN,640.6,1,,refrain
refrained,9,276,0.1,rI.fr"end,7,2,{refrain}>ed>,{rI.fr"en}>d>,2,VB,823.7,0.91,,refrained
refresh,7,5268,2.49,rI.fr"ES,6,2,{re--fresh},{rI-.-fr"ES},2,VB,696.77,0.97,,refresh
refreshed,9,518,0.73,rI.fr"ESt,7,2,{re--fresh}>ed>,{rI-.-fr"ES}>t>,3,JJ,740.34,0.88,,refreshed
refresher,9,324,0.29,rI.fr"ES.@`,7,3,{re--fresh}>er>,{rI-.-fr"ES}.>@`>,3,NN,674.74,0.94,,refresher
refreshing,10,1837,3.67,rI.fr"ES.IN,8,3,{re--fresh}>ing>,{rI-.-fr"ES}.>IN>,3,JJ|VB,665.79,0.97,,refreshing
refreshment,11,242,1,rI.fr"ES.m@nt,10,3,{re--fresh}>ment>,{rI-.-fr"ES}.>m@nt>,3,NN,828.82,0.97,,refreshment
refreshments,12,643,1.63,rI.fr"ES.m@nts,11,3,{re--fresh}>ment>>s>,{rI-.-fr"ES}.>m@nt>>s>,4,NN,667.71,1,,refreshments
rack,4,11655,7.78,r"ak,3,1,{rack},{r"ak},1,NN|VB,622.41,1,,rack
racked,6,473,0.98,r"akt,4,1,{rack}>ed>,{r"ak}>t>,2,VB,663.41,0.82,,racked
racket,6,671,7.43,r"a.kIt,5,2,{racket},{r"a.kIt},1,NN,670.52,0.97,,racket
rabid,5,4103,1.37,r"a.bId,5,2,{rabid},{r"a.bId},1,JJ,794.56,0.53,,rabid
rabies,6,1003,2.2,r"e.biz,5,2,{rabies},{r"e.biz},1,NN,814.9,0.85,,rabies
raccoon,7,275,1.43,ra.k"un,5,2,{raccoon},{ra.k"un},1,NN,801.81,0.97,,raccoon
race,4,46405,61.9,r"es,3,1,{race},{r"es},1,NN|VB,564.18,1,,race
racecourse,10,60,0.16,r"es.k%Ors,7,2,{race}{course},{r"es}.{k%Ors},2,NN,1042,0.58,,racecourse
raced,5,1252,1.31,r"est,4,1,{race}>ed>,{r"es}>t>,2,VB,643.68,0.88,,raced
racehorse,9,59,1.16,r"es.h%Ors,7,2,{race}{horse},{r"es}.{h%Ors},2,NN,706.36,0.97,,racehorse
racer,5,2768,2.63,r"es.@`,4,2,{race}>er>,{r"es}.>@`>,2,NN,697.12,1,,racer
racers,6,1290,2,r"es.@`z,5,2,{race}>er>>s>,{r"es}.>@`>>z>,3,NN,638.97,0.97,,racers
races,5,11782,6.82,r"es.@z,5,2,{race}>s>,{r"es}.>@z>,2,NN|VB,634.31,0.97,,races
racetrack,9,314,1.8,r"es.tr%ak,7,2,{race}{track},{r"es}.{tr%ak},2,NN,748.68,0.94,,racetrack
raceway,7,386,0.16,r"es.w%e,5,2,{race}{way},{r"es}.{w%e},2,NN,770.13,0.97,,raceway
racial,6,8317,3.12,r"e.Sl=,4,2,{race}>ial>,{r"e.S}>l=>,2,JJ,651.7,0.91,,racial
racially,8,666,0.37,r"e.Sl=.i,5,3,{race}>ial>>ly>,{r"e.S}>l=>.>i>,3,RB,796.43,0.9,,racially
racing,6,15076,11.88,r"es.IN,5,2,{race}>ing>,{r"es}.>IN>,2,VB|NN,614.06,0.97,,racing
racism,6,8554,1.73,r"es.I.zm=,6,3,{race}>ism>,{r"es}.>I.zm=>,2,NN,661.81,0.97,,racism
